KPI,Description
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_M2,What was the total finance-recognized roaming SMS revenue for this subscriber during the second most recent month (M2) in the 360 view?
CUST_360_SMS_REVENUE_ROAMING_FINANCE_REV_M2,Show the finance-recognized roaming SMS revenue from Month 2 (M2) for this customer's network usage profile.
CUST_360_ACTIVATION_CHANNEL,This CUST_360_ACTIVATION_CHANNEL field records the specific source or channel used during the original activation of the subscriber's telecom service account.
CUST_360_ACTIVATION_CHANNEL,Identify if a subscriber joined via retail or online during their original activation to optimize sales channel performance within Customer 360.
CUST_360_ACTIVATION_CHANNEL,Analyze the distribution of original activation channels in the Customer 360 profile to evaluate the effectiveness of different telecom distribution points.
CUST_360_ACTIVATION_CHANNEL,Find the original activation channel for this subscriber in the Customer 360 system to determine if they used an indirect channel.
CUST_360_ACTIVATION_CHANNEL,What was the original activation channel for the subscriber in the Customer 360 profile?
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_4W_AVG,This Customer 360 metric calculates the average finance-recognized revenue from national SMS usage over the last 4 weeks for each subscriber.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_4W_AVG,Identify high-value users by their average weekly domestic SMS revenue over the past 4 weeks for campaign targeting within the CRM.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_4W_AVG,A revenue assurance metric tracking the 4-week rolling average of finance-approved national SMS spending for every active subscriber profile.
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_4W_AVG,What is the average finance-validated revenue generated from national SMS usage during the last 4 weeks according to the billing system?
CUST_360_SMS_REVENUE_NATIONAL_FINANCE_REV_4W_AVG,Show the average weekly national SMS revenue for this subscriber over the past 4 weeks in the Customer 360 profile.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_MTD,Total finance-recognized revenue from on-net voice calls for the current month-to-date period stored in the Customer 360 profile.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_MTD,Tracking month-to-date finance-recognized on-net voice revenue for revenue assurance and identifying high-value subscribers within the billing system's subscriber profile.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_MTD,Analytical metric measuring the month-to-date financial revenue contribution from a subscriber's on-net voice usage for BSS reporting and segmentation.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_MTD,What is the total finance-recognized revenue from on-net voice calls for this subscriber during the current month-to-date window?
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_MTD,Show the month-to-date finance-recognized on-net voice revenue for this customer in the Customer 360 subscriber profile.
CUST_360_SMS_REVENUE_IDD_WK8,Total international SMS revenue recorded in the Customer 360 profile for the rolling 8 weeks period.
CUST_360_SMS_REVENUE_IDD_WK8,Identify high-value international messaging users for targeted campaigns based on their IDD SMS spending over the past 8 weeks.
CUST_360_SMS_REVENUE_IDD_WK8,Analyze subscriber profile trends by measuring the total billing amount for international SMS messages sent during the last 8 weeks.
CUST_360_SMS_REVENUE_IDD_WK8,Show me the total revenue from international text messages for each customer during the previous 8 weeks in the BSS.
CUST_360_SMS_REVENUE_IDD_WK8,What is the total IDD SMS revenue for this subscriber over the last 8 weeks in the Customer 360?
CUST_360_DISCOUNT_M3,This Customer 360 field stores the total sum of promotional discounts applied to a subscriber's billing account during the Month 3 period.
CUST_360_DISCOUNT_M3,Telecom marketing teams use this KPI to track the value of offer-based reductions granted to customers in the third most recent month.
CUST_360_DISCOUNT_M3,Analyze historical billing trends by calculating the total discount value received by a subscriber during the M3 period for revenue assurance purposes.
CUST_360_DISCOUNT_M3,Show me the total amount of promotional credits and discounts applied to this subscriber profile during the third month ago from today.
CUST_360_DISCOUNT_M3,"What was the total discount amount recorded in the BSS for this customer during the third most recent month, Month 3?"
CUST_360_USAGE_REVENUE_M3,"This Customer 360 field captures the total usage revenue from voice, data, and messaging services specifically for the M3 month."
CUST_360_USAGE_REVENUE_M3,Identify high-value subscribers by analyzing their total billing usage revenue from Month 3 to support targeted retention campaigns and offers.
CUST_360_USAGE_REVENUE_M3,Analyze historical spending patterns by evaluating the total usage revenue generated across all telecom services during the M3 monthly window.
CUST_360_USAGE_REVENUE_M3,Show me the total revenue from voice and data usage for this customer during Month 3 from the Customer 360 table.
CUST_360_USAGE_REVENUE_M3,What was the total usage revenue for this subscriber during the M3 period according to their Customer 360 profile?
CUST_360_CSR,Technical: Current Customer Service Representative (CSR) interaction status within the Customer 360 subscriber profile for CRM and billing system integration.
CUST_360_CSR,Business: Monitor the latest CSR engagement in the Customer 360 view to optimize telecom service delivery and support desk efficiency.
CUST_360_CSR,Analytical: Metric identifying the current CSR flag in the Customer 360 database for analyzing subscriber support history and interaction patterns.
CUST_360_CSR,Example: Search for the current CSR status for a user in the Customer 360 profile to assist with telecom campaign targeting.
CUST_360_CSR,Short Phrase: What is the current CSR interaction indicator in the Customer 360 subscriber profile for telecom support?
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W3,Technical data field in Customer 360 capturing finance-recognized revenue from on-net voice calls during the last W3 window.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W3,Targeting high-value subscribers by analyzing finance-validated revenue from on-net voice usage over the previous W3 period for campaigns.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W3,Revenue assurance metric measuring total finance-approved on-net voice revenue within the subscriber profile for the rolling W3 timeframe.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W3,What is the total finance-recognized revenue from internal network voice calls for this user during the W3 timeframe?
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W3,Finance-recognized on-net voice revenue for the last W3 period according to the billing system records.
CUST_360_SMS_REVENUE_IDD_WK2,Total IDD SMS revenue recorded in the Customer 360 profile for the subscriber during the specific WK2 period.
CUST_360_SMS_REVENUE_IDD_WK2,Tracking international messaging spend in week 2 to identify high-value IDD SMS users for targeted telecom billing promotions.
CUST_360_SMS_REVENUE_IDD_WK2,Analytical metric from the subscriber profile measuring the revenue contribution from international text messages specifically during the WK2 window.
CUST_360_SMS_REVENUE_IDD_WK2,Show me the total revenue generated from international SMS usage for each customer during week 2 in the CRM.
CUST_360_SMS_REVENUE_IDD_WK2,What was the customer's IDD SMS revenue during WK2 according to the latest Customer 360 usage data?
CUST_360_MOST_USED_SITE_TECHNOLOGY_90D,This Customer 360 field identifies the primary network technology at the site with the highest usage activity over the last 90 days.
CUST_360_MOST_USED_SITE_TECHNOLOGY_90D,Identify subscribers for 5G device upgrades by analyzing their most used site technology within the network during the past 3 months.
CUST_360_MOST_USED_SITE_TECHNOLOGY_90D,An analytical metric from the subscriber profile showing the dominant network technology type for the most used site over 90 days.
CUST_360_MOST_USED_SITE_TECHNOLOGY_90D,Which specific network technology was most frequently accessed by the customer at their top site during the previous 90 days?
CUST_360_MOST_USED_SITE_TECHNOLOGY_90D,Show the most used site technology for this subscriber in the Customer 360 database over the last 90 days.
CUST_360_IDD_INDIA_CALLING_FLAG_30D,This Customer 360 flag indicates if a subscriber made any IDD calls to India within the last 30 days.
CUST_360_IDD_INDIA_CALLING_FLAG_30D,Identify subscribers for targeted international calling campaigns based on their IDD activity to India over the past 30 days.
CUST_360_IDD_INDIA_CALLING_FLAG_30D,A binary indicator from the billing usage data showing whether a customer initiated India IDD calls in the last 30 days.
CUST_360_IDD_INDIA_CALLING_FLAG_30D,Show me the subscriber profile status for international direct dialing to India during the previous 30 days window.
CUST_360_IDD_INDIA_CALLING_FLAG_30D,Which customers in the Customer 360 database have an active India IDD calling flag for the last 30 days?
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_8W_MAX,This Customer 360 attribute stores the maximum weekly roaming data revenue generated by a subscriber during the rolling 8-week (8W) window.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_8W_MAX,Segment premium travelers by identifying their peak roaming data revenue over the past 8 weeks for targeted marketing campaigns.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_8W_MAX,A finance metric representing the highest single-week roaming data revenue recorded for a customer within the last 8 weeks.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_8W_MAX,Find the maximum revenue from roaming data packs for this subscriber profile over the previous 8 weeks (8W) of usage.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_8W_MAX,What is the highest roaming data revenue amount for this customer in the last 8 weeks in the billing system?
DATA_PAYG_REVENUE_W1,This Customer 360 field calculates the total mobile data revenue from Pay-As-You-Go billing during the last 1 week (W1).
DATA_PAYG_REVENUE_W1,Identify high-value subscribers by tracking their weekly PAYG data revenue for targeted upselling campaigns within the billing system.
DATA_PAYG_REVENUE_W1,Analyze the total revenue from non-bundle data usage over the past 7 days to segment users in the subscriber profile.
DATA_PAYG_REVENUE_W1,What is the total amount billed for Pay-As-You-Go data usage in the last 1 week for this customer profile?
DATA_PAYG_REVENUE_W1,How much revenue did this subscriber generate from PAYG data usage during the last 1 week in Customer 360?
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_30D_MAX,This Customer 360 field captures the maximum roaming data revenue recorded in the billing system over the last 30 days.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_30D_MAX,Identify high-spending travelers by tracking their highest single roaming data revenue transaction within the subscriber profile during the past 30 days.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_30D_MAX,Use this metric to segment customers based on their peak roaming data revenue usage patterns observed in the last 30 days.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_30D_MAX,Show me the maximum amount spent on roaming data bundles by any customer in the Customer 360 over the last 30 days.
CUST_360_DATA_REVENUE_ROAMING_FINANCE_REV_30D_MAX,What was the highest roaming data revenue for this subscriber in the last 30 days according to the billing records?
CUST_360_ACTIVATION_DATE,The CUST_360_ACTIVATION_DATE attribute stores the timestamp when a subscriber first activated their service on the telecom network.
CUST_360_ACTIVATION_DATE,Identify the official activation date from the CRM to determine when a customer's telecom plan and billing cycle originally commenced.
CUST_360_ACTIVATION_DATE,Use the activation date stored in the subscriber profile to calculate customer tenure and analyze long-term lifecycle stages for campaigns.
CUST_360_ACTIVATION_DATE,What is the original activation date for this account according to the Customer 360 records for service history tracking?
CUST_360_ACTIVATION_DATE,Show me the activation date for each subscriber in the Customer 360 database to verify their initial network start date.
CUST_360_VAS_REVENUE_FINANCE_REV_90D,Total finance-recognized VAS revenue for the subscriber over the last 90 days as recorded in the Customer 360 billing profile.
CUST_360_VAS_REVENUE_FINANCE_REV_90D,Identify high-value subscribers by tracking their total value-added services revenue over the past 3 months for finance-aligned campaign segmentation.
CUST_360_VAS_REVENUE_FINANCE_REV_90D,"This metric calculates the quarterly finance-recognized revenue from VAS, helping analysts evaluate subscriber spending patterns within the Customer 360 framework."
CUST_360_VAS_REVENUE_FINANCE_REV_90D,Show me the total finance-validated revenue from value-added services for each customer during the previous 90 days in the CRM.
CUST_360_VAS_REVENUE_FINANCE_REV_90D,What is the total finance-recognized VAS revenue for this subscriber over the last 90 days in their 360 profile?
CUST_360_RECHARGE_30D,This Customer 360 metric calculates the total count of recharge transactions recorded in the billing system over the last 30 days.
CUST_360_RECHARGE_30D,Identify high-frequency subscribers for loyalty campaigns by tracking the number of recharge events within the subscriber profile during the past 30 days.
CUST_360_RECHARGE_30D,Analyze customer payment behavior by measuring the frequency of recharge activities in the CRM database during the previous 30-day window.
CUST_360_RECHARGE_30D,Show me the total number of times a customer has topped up their account balance in the last 30 days for revenue assurance.
CUST_360_RECHARGE_30D,How many recharge transactions did this user complete in the last 30 days according to the Customer 360 view?
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_7D,This Customer 360 field calculates the total finance-recognized revenue from on-net and off-net activities recorded over the last 7 days.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_7D,Monitor total weekly finance revenue from on-net and off-net usage for revenue assurance and subscriber segmentation within the billing system.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_7D,An analytical metric representing the sum of all finance-recognized revenue from on-net and off-net services in the subscriber profile during the past 7 days.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_7D,Search for the total combined on-net and off-net finance revenue generated by a subscriber over the previous 7 days in the CRM.
CUST_360_TOTAL_ONNET_OFFNET_FINANCE_REV_7D,What was the total on-net and off-net finance revenue for this customer in the last 7 days according to Customer 360?
CUST_360_TOT_REV_WK3,Technical data field in Customer 360 representing the total revenue aggregated for a subscriber during the WK3 time bucket.
CUST_360_TOT_REV_WK3,Telecom business metric used to assess billing performance and customer value based on total revenue during the WK3 period.
CUST_360_TOT_REV_WK3,Analytical KPI from the subscriber profile that tracks total revenue trends specifically within the week 3 (WK3) window.
CUST_360_TOT_REV_WK3,How much total revenue was generated by this customer during the WK3 timeframe according to the telecom billing records?
CUST_360_TOT_REV_WK3,Show the total revenue for the subscriber during the WK3 period as recorded in the Customer 360 system.
DATA_PAYG_REVENUE_W2,Total revenue from mobile data usage billed as Pay-As-You-Go for the W2 period in the Customer 360 billing system.
DATA_PAYG_REVENUE_W2,Identify high-value subscribers by tracking mobile data PAYG revenue during the W2 window to optimize telecom plan migration campaigns.
DATA_PAYG_REVENUE_W2,This metric calculates the total PAYG data revenue for the W2 timeframe to analyze subscriber usage patterns within the BSS profile.
DATA_PAYG_REVENUE_W2,What was the total amount of Pay-As-You-Go data revenue generated by this subscriber during the W2 period in their profile?
DATA_PAYG_REVENUE_W2,Show me the total PAYG data revenue for the W2 window from the Customer 360 usage records.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W5,Technical data point showing finance-recognized revenue from outgoing on-net voice calls during the last W5 within the Customer 360 profile.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W5,Monitors finance-validated revenue from on-net voice calls over the past 5 weeks for subscriber segmentation and revenue assurance purposes.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W5,Analytical metric measuring the total finance-recognized revenue generated from on-net voice usage during the W5 window for network billing analysis.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W5,Retrieve the total finance-recognized revenue for outgoing on-net voice calls during the last W5 period from the CRM database.
CUST_360_VOICE_REVENUE_ONNET_FINANCE_REV_W5,How much finance-recognized revenue did this subscriber generate from on-net voice calls in the last W5 according to BSS?
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W6,This Customer 360 field tracks the total local mobile data revenue from billing records specifically for the W6 (Week 6) timeframe.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W6,Evaluate subscriber spending patterns on local data bundles during W6 to optimize telecom revenue assurance and campaign targeting.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W6,Analytical metric representing the sum of local data revenue generated by a customer in the Customer 360 subscriber profile during W6.
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W6,How much total revenue was generated from local data usage and internet packs for each subscriber during W6 in the billing system?
CUST_360_DATA_REVENUE_LOCAL_FINANCE_REV_W6,What is the local data revenue for each subscriber profile during W6 according to Customer 360?
CUST_360_SUSPENSION_DATE,The CUST_360_SUSPENSION_DATE field in the Customer 360 database records the specific date when a subscriber's telecom service was suspended.
CUST_360_SUSPENSION_DATE,Track the suspension date within the Customer 360 profile to identify when a telecom plan was halted due to billing issues.
CUST_360_SUSPENSION_DATE,Use the suspension date attribute from the Customer 360 table to analyze the timing of service interruptions across the network.
CUST_360_SUSPENSION_DATE,Query the CUST_360_SUSPENSION_DATE to determine the exact date the subscriber's service was cut off in the BSS system.
CUST_360_SUSPENSION_DATE,What is the suspension date for this customer according to the Customer 360 subscriber profile?
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_W7,Technical data field representing finance-recognized revenue from off-net voice calls in the Customer 360 profile for the last W7.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_W7,Telecom business use case for monitoring finance-validated off-net voice revenue over the last 7 days to optimize billing revenue.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_W7,Analytical metric measuring the finance revenue contribution from outgoing calls to other networks during W7 within the subscriber profile.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_W7,Query the BSS for the total finance-recognized revenue generated from off-net voice calls during the previous W7 period.
CUST_360_VOICE_REVENUE_OFFNET_FINANCE_REV_W7,How much finance-validated off-net voice revenue did this subscriber generate in the last 7 days according to the CRM?
CUST_360_RECHARGE_1D,This Customer 360 metric calculates the total count of recharge transactions recorded in the billing system over the last 1 day.
CUST_360_RECHARGE_1D,Identify high-frequency top-up behavior for real-time campaign targeting by monitoring the number of recharge events in the past 1 day.
CUST_360_RECHARGE_1D,A subscriber profile KPI measuring the frequency of recharge activities during the last 1 day to analyze immediate liquidity and usage.
CUST_360_RECHARGE_1D,Find the total number of recharge transactions for a subscriber during the last 1 day in the CRM database.
CUST_360_RECHARGE_1D,How many recharge events occurred for this customer in the last 1 day in Customer 360?
CUST_360_VLR_ACTIVE_STATUS,Current VLR active status in the Customer 360 database indicating if a subscriber is registered on the home or roaming network.
CUST_360_VLR_ACTIVE_STATUS,Use the current VLR active status flag in the subscriber profile to trigger real-time roaming notifications or travel-related marketing campaigns.
CUST_360_VLR_ACTIVE_STATUS,This metric tracks the current network location status via the VLR active status indicator to distinguish between home and roaming users.
CUST_360_VLR_ACTIVE_STATUS,Check the current VLR active status in the Customer 360 system to determine if a mobile subscription is roaming right now.
CUST_360_VLR_ACTIVE_STATUS,What is the current VLR active status for this subscriber on the network to identify their real-time roaming location?
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_30D,Total finance-recognized IDD revenue for the last 30 days aggregated from billing records within the Customer 360 subscriber profile.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_30D,Identify high-value international callers by calculating total IDD revenue over the past 30 days for targeted telecom marketing campaigns.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_30D,This metric tracks the total finance-validated IDD revenue per subscriber over a rolling 30-day window for revenue assurance analysis.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_30D,Show the total amount of finance-recognized revenue generated from international direct dialing services in the Customer 360 table during the previous 30 days.
CUST_360_TOTAL_REVENUE_IDD_FINANCE_REV_30D,What is the total IDD revenue recognized by finance for this subscriber profile in the last 30 days?
CUST_360_MOST_USED_DAY_SITE_TECHNOLOGY,Technical attribute in Customer 360 identifying the network technology at the site with the most used daytime mobile service activity.
CUST_360_MOST_USED_DAY_SITE_TECHNOLOGY,Telecom business KPI used for campaign targeting based on the most used daytime site technology to promote 5G device upgrades.
CUST_360_MOST_USED_DAY_SITE_TECHNOLOGY,Analytical metric representing the specific network technology at the cell site with the highest daytime usage volume for each subscriber.
CUST_360_MOST_USED_DAY_SITE_TECHNOLOGY,Which network technology is associated with the customer's most used daytime site according to their network usage history?
CUST_360_MOST_USED_DAY_SITE_TECHNOLOGY,What is the most used daytime site technology for this subscriber in the Customer 360 profile?
CUST_360_VAS_REVENUE_FINANCE_REV_W2,"Technical: Finance-recognized revenue for Value-Added Services (VAS) recorded in Customer 360 for the second most recent week, designated as W2."
